benchmark,experiment,theorem_name,proof_found,is_timeout,is_inference_exhausted,proof_time_in_secs,inferences_taken,possible_failed_paths,num_of_backtracks,longest_success_path,attempt_idx,proof_steps,proof_file,results_json
miniF2F easy-10,E1,mathd_algebra_33,False,True,False,445.55968284606934,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_numbertheory_345,False,True,False,314.19938492774963,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_numbertheory_299,False,True,False,342.6316223144531,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_algebra_478,False,True,False,1292.3810765743256,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_algebra_209,False,True,False,1446.2236866950989,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,amc12b_2020_p2,False,True,False,342.0168070793152,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_numbertheory_207,False,True,False,332.2539277076721,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_algebra_141,False,True,False,1105.1989390850067,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_numbertheory_3,False,True,False,342.3266382217407,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E1,mathd_numbertheory_342,True,False,False,122.07275342941284,-1,-1,-1,-1,0,norm_num1,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
miniF2F easy-10,E3,mathd_algebra_33,False,True,False,903.1739954948425,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_numbertheory_345,False,True,False,406.4290347099304,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_numbertheory_299,False,False,False,87.71603465080261,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_algebra_478,False,True,False,1020.959310054779,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_algebra_209,False,True,False,1290.3895602226257,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,amc12b_2020_p2,True,False,False,114.8097608089447,-1,-1,-1,-1,0,ring1,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_numbertheory_207,True,False,False,100.66168260574341,-1,-1,-1,-1,0,norm_num,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_algebra_141,False,True,False,764.7976515293121,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_numbertheory_3,False,False,False,107.49888920783997,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E3,mathd_numbertheory_342,False,True,False,375.25085735321045,-1,-1,-1,-1,0,,/tmp/pwmf6849079_1/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E3/proof_dumps/miniF2F_test_easy10_lean3/20260517-035055/proof_results.json
miniF2F easy-10,E4,mathd_algebra_33,False,True,False,488.32755494117737,-1,-1,-1,-1,0,,/tmp/pwmf6849079_2/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E4/proof_dumps/miniF2F_test_easy10_lean3/20260517-053022/proof_results.json
miniF2F easy-10,E4,mathd_numbertheory_345,False,True,False,435.07810640335083,-1,-1,-1,-1,0,,/tmp/pwmf6849079_2/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E4/proof_dumps/miniF2F_test_easy10_lean3/20260517-053022/proof_results.json
miniF2F easy-10,E4,mathd_numbertheory_299,False,True,False,315.7444369792938,-1,-1,-1,-1,0,,/tmp/pwmf6849079_2/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E4/proof_dumps/miniF2F_test_easy10_lean3/20260517-053022/proof_results.json
miniF2F easy-10,E4,mathd_algebra_478,False,False,False,75.87622308731079,-1,-1,-1,-1,0,,/tmp/pwmf6849079_2/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E4/proof_dumps/miniF2F_test_easy10_lean3/20260517-053022/proof_results.json
