benchmark,experiment,theorem_name,proof_found,is_timeout,is_inference_exhausted,proof_time_in_secs,inferences_taken,possible_failed_paths,num_of_backtracks,longest_success_path,attempt_idx,proof_steps,proof_file,results_json
Hard_Lean,E1,mathd_algebra_33,False,True,False,445.55968284606934,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_numbertheory_345,False,True,False,314.19938492774963,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_numbertheory_299,False,True,False,342.6316223144531,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_algebra_478,False,True,False,1292.3810765743256,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_algebra_209,False,True,False,1446.2236866950989,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,amc12b_2020_p2,False,True,False,342.0168070793152,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_numbertheory_207,False,True,False,332.2539277076721,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_algebra_141,False,True,False,1105.1989390850067,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_numbertheory_3,False,True,False,342.3266382217407,-1,-1,-1,-1,0,,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,mathd_numbertheory_342,True,False,False,122.07275342941284,-1,-1,-1,-1,0,norm_num1,/tmp/pwmf6849079_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_easy10/6849079/E1/proof_dumps/miniF2F_test_easy10_lean3/20260517-020207/proof_results.json
Hard_Lean,E1,imo_1968_p5_1,False,True,False,496.0390057563782,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_algebra_302,False,True,False,537.3618104457855,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_numbertheory_559,False,False,False,43.114561319351196,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_numbertheory_552,False,True,False,272.62681460380554,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,numbertheory_3pow2pownm1mod2pownp3eq2pownp2,False,True,False,440.6563675403595,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,amc12b_2020_p6,False,True,False,338.18544006347656,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_algebra_388,False,True,False,200.52997064590454,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_numbertheory_85,False,True,False,278.850683927536,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,imo_1964_p2,False,True,False,193.25520300865173,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_numbertheory_212,False,True,False,260.525723695755,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_numbertheory_711,False,True,False,274.2427296638489,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_algebra_314,False,True,False,301.9897382259369,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_algebra_329,False,True,False,222.35335850715637,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,amc12b_2020_p22,False,True,False,397.5520441532135,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,mathd_algebra_188,False,True,False,195.0182785987854,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
Hard_Lean,E1,amc12_2000_p12,False,True,False,1047.1806757450104,-1,-1,-1,-1,0,,/tmp/pwmr6850148_0/miniF2F/lean/src/test.lean,runs/proof_search_minif2f_remaining_9h20/6850148/E1/proof_dumps/miniF2F_test_remaining_lean3/20260517-132305/proof_results.json
